Path,Value
../small_dataset/audios/00862042_713.wav,"It's certainly a sight to see, no doubt about it."
../small_dataset/audios/00862506_524.wav,"You know the books over there, right? You said you don't have any books, but they just drew the books."
../small_dataset/audios/00862506_1057.wav,Imagine something that could be the next big thing.
../small_dataset/audios/00862506_1071.wav,He said he bought a small bottle of gel.
../small_dataset/audios/00862277_1657.wav,"Yes, well, I suppose that for me, the subjects of science and math are like..."
../small_dataset/audios/app_3725_5449_phnd_pos_136.wav,"I was using it for everything, just like you mentioned, especially for basketball, school, and going out. Basically, I wore that shoe everywhere. Since itâ€™s red and black, it matches any outfit. Overall, it was quite durable for the price."
../small_dataset/audios/app_3647_5294_phnd_neg_74.wav,"As a student, I have to use WhatsApp a lot to discuss various university matters with my classmates."
../small_dataset/audios/app_3733_5465_phnd_pos_232.wav,"That's correct, and it's not cheap, you know. For me, I apply it all over my body right after I shower because they say you have to apply moisturizing cream within five minutes."
../small_dataset/audios/app_3651_5302_phnd_fin_147.wav,"As for me, I feel that the older generation..."
../small_dataset/audios/app_3730_5460_phnd_neg_87.wav,"And you find that this local guide actually doesn't know what your tour consists of, you know?"
../small_dataset/audios/202261748.wav,asia's prosperity is intrinsically intertwined with china's and the rest of the world
../small_dataset/audios/207741403.wav,a comma can change the meaning of a sentence entirely
../small_dataset/audios/210781638.wav,passengers get guaranteed seats and there are no more than five stops along the way
../small_dataset/audios/203000298.wav,but of course our nice little chat had to eventually come to an end
../small_dataset/audios/202701536.wav,at least half of a young british couple's disposable income now goes towards paying rent
../small_dataset/audios/229950330.wav,number sequence is t one two eight seven four three five n and date of birth is twenty four october nineteen seventy
../small_dataset/audios/231310203.wav,it is faster to take the bus to sime road
../small_dataset/audios/222051887.wav,greenfield drive singapore polytechnic and toong chai presbyterian church
../small_dataset/audios/229471727.wav,janadas devan naraina pillai and hugh charles clifford
../small_dataset/audios/225371583.wav,jimmy ong yaw shin leong and bey hua heng